,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CPG.L Weight
156,0.002274197,0.017605191,0.129177633,-0.006528399,3.17E-06,0.794505672,0.205491154
669,0.002589236,0.020327205,0.127377881,-0.007574366,0.017270846,0.948162282,0.034566872
790,0.002493607,0.019553827,0.127525245,-0.007283307,0.092214524,0.897586699,0.010198777
378,0.002704299,0.02092917,0.12921195,-0.007760286,0.017979198,0.979274737,0.002746065
958,0.002732743,0.02112098,0.129385229,-0.007827747,0.006242625,0.990767223,0.002990152
530,0.002491988,0.019489416,0.127863632,-0.00725272,0.055557351,0.896835435,0.047607214
767,0.002666709,0.020650559,0.129134964,-0.00765857,0.006687393,0.962064634,0.031247973
44,0.002628579,0.020439534,0.128602683,-0.007591188,0.027444392,0.951455079,0.021100529
620,0.002699418,0.020889926,0.129221056,-0.007745545,0.01115485,0.978043097,0.010802053
142,0.002689077,0.020855515,0.128938416,-0.007738681,0.004035665,0.975575461,0.020388874
23,0.002070617,0.015543702,0.133212575,-0.005701235,0.002466821,0.653405701,0.344127479
210,0.00255991,0.019852055,0.128949353,-0.007366118,0.034982595,0.918344053,0.046673352
503,0.002617936,0.020172711,0.129776112,-0.00746842,0.004138177,0.938472972,0.057388851
317,0.002666255,0.02056967,0.129620713,-0.00761858,0.002202955,0.960419695,0.037377351
221,0.002591339,0.020194442,0.128319427,-0.007505882,0.039152613,0.938505405,0.022341982
760,0.002631804,0.020442376,0.128742589,-0.007589384,0.048328331,0.950589627,0.001082042
592,0.002632707,0.020313277,0.129605232,-0.007523932,0.004154273,0.945977207,0.049868519
852,0.002155497,0.015549582,0.138620916,-0.005619294,0.006726704,0.630186852,0.363086444
690,0.001796981,0.012251799,0.146670787,-0.004328919,0.001430706,0.408346825,0.590222469
17,0.002598189,0.020279329,0.128120085,-0.007541475,0.00728063,0.94366187,0.0490575
940,0.002545208,0.019718473,0.129077317,-0.007314029,0.010559451,0.913996658,0.075443891
292,0.002362945,0.017824557,0.132566838,-0.006549333,0.003766449,0.784400995,0.211832556
16,0.002285102,0.017132958,0.133374639,-0.006281377,0.021423937,0.732822071,0.245753993
793,0.002573048,0.020071105,0.128196609,-0.007462505,0.050051278,0.929689579,0.020259143
367,0.002512929,0.019329786,0.13000296,-0.007151964,0.01994249,0.889334416,0.090723094
