Date,SDR.L,NMC.L,CPG.L,BT,SHP.L,PRU.L,SKY.L,BNZL.L,STJ.L,TSCO.L,EZJ.L,GFS.L,CCL.L,EXPN.L,RSA.L,SMIN.L,SSE.L,CNA.L,TUI.L,CCH.L,RTO.L,VOD.L,BATS.L,AHT.L,PPB.L,BRBY.L,ANTO.L,DLG.L,UU.L,BCS
23/02/2015,3074,508,1194.959961,34.165001,5190,1622,969,1950,903.5,240.399994,1798,293.200012,2898,1199,450.100006,1176,1535,249.899994,1193,1127,128.800003,232.699997,3727.5,1143,4296.609863,1921,732.5,361.200012,950,16.209999
24/02/2015,3067,520,1196,34.395,5150,1616.5,974,1928,892,238.399994,1798,297.200012,2896,1196,449.899994,1163,1580,251.699997,1191,1126,129,226.5,3737,1151,4380.189941,1903,754.5,360.981995,962,16.299999
25/02/2015,3065,557,1186.640015,34.34,5230,1615,1005,1920,930,240.899994,1813,299.299988,2910,1180,450.299988,1137,1585,251,1174,1131,129.300003,223.699997,3731,1176,4408.919922,1910,754,362.182007,955,16.309999
26/02/2015,3078,571,1200.160034,34.735001,5315,1628,998.5,1900,937,246,1732,299.100006,2917,1198,429.100006,1150,1562,245.600006,1172,1150,129.600006,224.699997,3795,1190,4435.040039,1891,768,355.635986,944.5,16.110001
27/02/2015,3075,587,1198.079956,34.974998,5275,1629.5,996.5,1896,948,245.399994,1732,298,2922,1198,428.899994,1155,1573,244.300003,1177,1162,135.300003,224.399994,3782,1190,4549.970215,1872,767,357.164001,946,15.86
02/03/2015,3070,585.5,1200.160034,35.09,5160,1621.5,1005,1900,953,246.699997,1723,298.600006,2976,1203,434.299988,1170,1561,246.5,1170,1159,136.899994,224.699997,3756.5,1181,4589.140137,1892,765,360.545013,945,16.08
03/03/2015,3045,592.5,1200.160034,34.73,5160,1622,985,1879,937.5,244.949997,1701,293.799988,2950,1180,420.200012,1161,1566,247.5,1140,1164,133.699997,225,3767,1157,4555.189941,1847,755,358.255005,920.5,15.66
04/03/2015,3034,593,1209.52002,35.02,5250,1625,996,1883,937.5,243.25,1738,294.899994,2984,1174,426.600006,1161,1549,245.399994,1151,1160,133.399994,227.350006,3813,1144,4664.890137,1865,740.5,362.835999,921,16.030001
05/03/2015,3178,607.5,1212.640015,35.07,5200,1658.5,1003,1889,946,245.949997,1722,296,3038,1194,423.399994,1179,1555,245.5,1175,1181,138,226.25,3892.5,1129,5498.089844,1875,754,372.109009,939.5,16.17
06/03/2015,3151,612.5,1215.76001,34.459999,5235,1671.5,996,1881,945,242.5,1680,295.299988,3032,1187,418,1179,1517,242,1163,1155,137.899994,219.899994,3825.5,1118,5396.22998,1887,748,372.764008,925,15.84
09/03/2015,3090,630,1204.319946,34.305,5210,1663.5,992,1859,943.5,240.300003,1702,291,3035,1160,412.399994,1191,1518,243.899994,1154,1145,137.600006,219.100006,3756,1098,5631.299805,1857,752.5,372.436005,922.5,15.72
10/03/2015,3062,645.5,1181.439941,33.474998,5245,1612,985.5,1831,924,235.300003,1713,286.100006,3012,1134,409.200012,1150,1470,235.5,1145,1115,136.800003,215.550003,3652.5,1093,5563.390137,1816,711,362.509003,889,15.31
11/03/2015,3128,640,1184.560059,33.299999,5310,1634,984.5,1839,935.5,235.449997,1737,288.899994,3030,1139,416.100006,1163,1482,238.899994,1152,1089,137.699997,217.199997,3627,1116,5558.169922,1850,699,360,895.5,15.24
12/03/2015,3195,648,1203.280029,33.48,5455,1660,991,1841,947.5,235.75,1732,290.5,3097,1142,419.200012,1166,1491,241.399994,1152,1109,137.899994,216.899994,3641.5,1113,5589.509766,1845,700.5,350.182007,902.5,15.29
13/03/2015,3208,642.5,1213.680054,33.455002,5525,1670,996,1844,934,232.850006,1731,292.399994,3131,1130,420.5,1163,1462,237.899994,1168,1120,138.100006,218.949997,3644,1107,5665.259766,1844,698.5,348.545013,894,14.92
16/03/2015,3268,643,1224.079956,33.639999,5530,1701.5,1002,1855,942,241.350006,1734,294.100006,3194,1115,419.5,1179,1469,239.300003,1200,1121,140.899994,222.600006,3708.5,1097,5806.299805,1890,707,350.945007,896.5,15.1
17/03/2015,3199,643.5,1227.199951,33.529999,5505,1698,1011,1852,930,237.149994,1792,290.600006,3160,1128,423,1178,1501,251.199997,1197,1146,138.399994,221.550003,3715.5,1097,5782.790039,1870,687,350.72699,911.5,14.95
18/03/2015,3228,650,1249.040039,34.419998,5600,1733,1025,1860,978,241.800003,1830,297.5,3195,1137,429.399994,1200,1532,255,1208,1173,139.600006,225.75,3796,1134,5811.52002,1860,681.5,354.654999,935,15.15
19/03/2015,3264,648,1251.119995,34.154999,5635,1752,1027,1868,966.5,242.800003,1855,299.899994,3200,1130,433.399994,1206,1532,256.600006,1181,1176,141,225.899994,3668,1133,5735.779785,1870,695,356.618011,951,14.97
20/03/2015,3285,646,1251.119995,34.735001,5685,1747.5,1032,1878,978.5,244.850006,1870,299.700012,3201,1143,436,1204,1554,255.800003,1179,1201,141.300003,228.25,3657,1132,5746.220215,1876,714.5,358.69101,949,15.32
23/03/2015,3317,649.5,1240.719971,34.740002,5565,1741.5,1028,1868,974.5,246.600006,1868,297.799988,3151,1148,437.799988,1210,1568,258.799988,1175,1194,140.800003,227.649994,3703.5,1119,5678.310059,1828,727,360.436005,958,15.4
24/03/2015,3340,655,1249.040039,34.485001,5525,1743.5,1030,1872,990,243.649994,1884,301,3110,1156,439.100006,1213,1556,256.600006,1183,1221,141.800003,226.949997,3664,1131,5798.470215,1852,724,361.091003,956.5,15.38
25/03/2015,3343,650,1233.439941,34.845001,5400,1742,1012,1845,979,239.350006,1890,297,3045,1141,437.200012,1212,1563,260.200012,1214,1220,139.100006,224.25,3639.5,1122,5829.810059,1824,728.5,360,958,15.07
26/03/2015,3207,648,1206.400024,34.310001,5310,1685,1006,1832,945,238,1837,292.799988,3024,1131,424.399994,1179,1548,258.399994,1207,1211,137.600006,224,3570,1098,5814.129883,1787,724.5,349.417999,939.5,14.92
27/03/2015,3204,644.5,1220.959961,33.84,5425,1683,1003,1826,932,238.25,1858,292.399994,3241,1125,423.200012,1162,1548,259.299988,1200,1196,135.5,224.699997,3552,1070,5866.379883,1767,715,349.30899,942.5,14.73
30/03/2015,3225,675,1233.439941,33.285,5430,1697,1005,1835,934,240.949997,1867,294.100006,3274,1121,430.5,1129,1532,257,1201,1220,135.5,224.350006,3594.5,1101,5968.240234,1772,739.5,352.69101,944.5,14.81
31/03/2015,3200,664.5,1218.880005,32.584999,5365,1672,993,1831,934.5,241.850006,1882,295.799988,3296,1117,420.899994,1118,1498,253,1187,1215,136.699997,220.449997,3488.5,1084,5837.640137,1733,732.5,348,933,14.57
01/04/2015,3208,638,1218.880005,32.825001,5260,1675,987,1840,943.5,243.25,1872,297.299988,3258,1121,426.600006,1117,1503,254.800003,1211,1222,136.600006,220.050003,3538.5,1087,5853.310059,1731,733.5,346.364014,939.5,14.94
02/04/2015,3223,651,1230.319946,32.990002,5160,1679.5,997,1855,956,244.300003,1844,298.799988,3310,1130,428.200012,1116,1508,253.199997,1213,1279,136.800003,222.199997,3577,1082,5730.560059,1715,718,348.654999,938,15.2
07/04/2015,3278,665,1239.680054,33.220001,5385,1697,1023,1882,974.5,251,1846,303,3357,1150,431.600006,1138,1544,259.5,1230,1329,138,225.399994,3631,1095,5764.509766,1714,740.5,347.782013,962,15.46
08/04/2015,3284,695.5,1225.119995,33.115002,5485,1681.5,1039,1888,982.5,246.850006,1858,303.100006,3324,1181,432.5,1120,1535,259,1219,1329,139.300003,222.550003,3589,1064,5788.02002,1743,733,352.036011,958.5,15.4
09/04/2015,3348,674.5,1257.359985,33.189999,5420,1695,1045,1902,982.5,246.800003,1885,306.200012,3339,1182,432.899994,1129,1560,262.299988,1228,1354,138.5,225.699997,3631,1059,5889.879883,1792,738.5,354.436005,976,15.41
10/04/2015,3405,676,1267.76001,33.445,5680,1716,1054,1912,994.5,251,1915,308.799988,3370,1193,435.600006,1134,1561,262.700012,1248,1360,140.199997,229.300003,3716,1076,5887.27002,1806,740.5,360.217987,981.5,15.38
13/04/2015,3390,691,1260.47998,33.255001,5680,1696.5,1050,1906,994,244.300003,1892,306.399994,3354,1177,435,1118,1562,262.100006,1237,1355,139.899994,229.199997,3662,1093,5798.470215,1778,722,358.036011,979,15.14
14/04/2015,3372,688,1254.23999,33.365002,5535,1681,1050,1910,981,244.199997,1871,304.5,3296,1180,434.399994,1124,1564,262.899994,1237,1363,141,229.350006,3677.5,1112,5916,1784,743,359.454987,979,15.28
